# image   distance   energy
   0       0.000000        13.01527189
   1       0.237126         1.71578241
   2       0.480331        -3.27640366
   3       0.732532        -5.50284027
   4       0.990184        -6.24523489
   5       1.239291        -6.05189527
   6       1.465060        -5.67922689
   7       1.661689        -5.31685483
   8       1.832490        -5.02935556
   9       1.984464        -4.84064174
  10       2.124263        -4.74115977
  11       2.256499        -4.70795360
  12       2.383777        -4.71271190
  13       2.507426        -4.72580395
  14       2.628198        -4.72208251
  15       2.746695        -4.68788211
  16       2.863501        -4.62531100
  17       2.979170        -4.55000507
  18       3.094162        -4.48450568
  19       3.208807        -4.45182874
  20       3.323308        -4.47054553
  21       3.437765        -4.55127676
  22       3.552217        -4.69479940
  23       3.666671        -4.89220544
  24       3.781124        -5.12742698
  25       3.895572        -5.38199558
  26       4.010016        -5.64035535
  27       4.124457        -5.88931777
  28       4.238899        -6.10420637
  29       4.353342        -6.25165487
  30       4.467787        -6.31723192
