# image   distance   energy
   0       0.000000         0.55614666
   1       0.080000        -0.35919175
   2       0.160000        -1.02763846
   3       0.240000        -1.50397946
   4       0.320000        -1.82894934
   5       0.400000        -2.03321644
   6       0.480000        -2.14017599
   7       0.560000        -2.16794461
   8       0.640000        -2.13081523
   9       0.720000        -2.04034673
  10       0.800000        -1.90620838
  11       0.880000        -1.73686320
  12       0.960000        -1.54015020
  13       1.040000        -1.32380600
  14       1.120000        -1.09594667
  15       1.200000        -0.86550171
  16       1.280000        -0.64254085
  17       1.360000        -0.43833836
  18       1.440000        -0.26485106
  19       1.520000        -0.13304453
  20       1.600000        -0.04937285
  21       1.680000        -0.01055962
  22       1.760000        -0.00069681
  23       1.840000        -0.00000165
  24       1.920000        -0.00000000
  25       2.000000         0.00000000
  26       2.080000         0.00000000
  27       2.160000         0.00000000
  28       2.240000         0.00000000
  29       2.320000         0.00000000
  30       2.400000         0.00000000
