# image   distance   energy
   0       0.000000        -4.27199186
   1       0.099609        -4.30348742
   2       0.197963        -4.29498106
   3       0.292149        -4.28638762
   4       0.382734        -4.27786390
   5       0.470834        -4.26968623
   6       0.557578        -4.26249050
   7       0.643839        -4.25751327
   8       0.730244        -4.25670980
   9       0.817219        -4.26229056
  10       0.905189        -4.27496925
  11       0.994405        -4.29185929
  12       1.084721        -4.30803171
  13       1.175734        -4.32080424
  14       1.267145        -4.32977700
  15       1.358802        -4.33498031
  16       1.450584        -4.33649397
  17       1.542243        -4.33444543
  18       1.633600        -4.32903146
  19       1.724637        -4.32047434
  20       1.815340        -4.30901612
  21       1.905635        -4.29492482
  22       1.995397        -4.27849742
  23       2.084524        -4.26004383
  24       2.173018        -4.23985709
  25       2.261035        -4.21818650
  26       2.348860        -4.19522907
  27       2.436803        -4.17114961
  28       2.525034        -4.14611231
  29       2.613476        -4.12012470
  30       2.701929        -4.09032472
