# image   distance   energy
   0       0.000000      -928.03239894
   1       0.078390      -928.01279699
   2       0.156779      -927.95306338
   3       0.235169      -927.85263528
   4       0.313559      -927.71243814
   5       0.391949      -927.53988664
   6       0.470338      -927.35546971
   7       0.548728      -927.18376241
   8       0.627118      -927.04115876
   9       0.705508      -926.93317950
  10       0.783897      -926.85760192
  11       0.862287      -926.80839627
  12       0.940677      -926.77860760
  13       1.019067      -926.76202426
  14       1.097456      -926.75397173
  15       1.175846      -926.75160427
  16       1.254236      -926.75397173
  17       1.332625      -926.76202426
  18       1.411015      -926.77860760
  19       1.489405      -926.80839627
  20       1.567795      -926.85760192
  21       1.646184      -926.93317950
  22       1.724574      -927.04115876
  23       1.802964      -927.18376241
  24       1.881354      -927.35546971
  25       1.959743      -927.53988664
  26       2.038133      -927.71243814
  27       2.116523      -927.85263528
  28       2.194913      -927.95306338
  29       2.273302      -928.01279699
  30       2.351692      -928.03239894
