# image   distance   energy
   0       0.000000      -928.03239894
   1       0.037670      -928.02990790
   2       0.075339      -928.02237017
   3       0.113012      -928.00965806
   4       0.150703      -927.99163499
   5       0.188438      -927.96814427
   6       0.226258      -927.93898818
   7       0.264219      -927.90392862
   8       0.302391      -927.86294828
   9       0.340854      -927.81706788
  10       0.379700      -927.76916240
  11       0.419032      -927.72384033
  12       0.458957      -927.68642487
  13       0.499592      -927.66178792
  14       0.541062      -927.65356135
  15       0.583500      -927.66380245
  16       0.627053      -927.69297834
  17       0.671878      -927.74012492
  18       0.718151      -927.80308394
  19       0.766064      -927.87876835
  20       0.815836      -927.96342516
  21       0.867715      -928.05287198
  22       0.921986      -928.14268922
  23       0.978980      -928.22835415
  24       1.039089      -928.30530010
  25       1.102774      -928.36887408
  26       1.170589      -928.41416585
  27       1.243232      -928.42580721
  28       1.318166      -928.42629206
  29       1.391457      -928.43298937
  30       1.463922      -928.43654602
  31       1.536387      -928.43298937
  32       1.609678      -928.42629206
  33       1.684612      -928.42580721
  34       1.757255      -928.41416585
  35       1.825070      -928.36887408
  36       1.888755      -928.30530010
  37       1.948864      -928.22835415
  38       2.005859      -928.14268922
  39       2.060129      -928.05287198
  40       2.112008      -927.96342516
  41       2.161780      -927.87876835
  42       2.209694      -927.80308394
  43       2.255966      -927.74012492
  44       2.300791      -927.69297834
  45       2.344344      -927.66380245
  46       2.386782      -927.65356135
  47       2.428252      -927.66178792
  48       2.468887      -927.68642487
  49       2.508812      -927.72384033
  50       2.548144      -927.76916240
  51       2.586991      -927.81706788
  52       2.625454      -927.86294828
  53       2.663625      -927.90392862
  54       2.701586      -927.93898818
  55       2.739406      -927.96814427
  56       2.777141      -927.99163499
  57       2.814832      -928.00965806
  58       2.852505      -928.02237017
  59       2.890174      -928.02990790
  60       2.927844      -928.03239894
