# image   distance   energy
   0       0.000000      -928.03239894
   1       0.037670      -928.03165826
   2       0.075339      -928.02929701
   3       0.113012      -928.02507462
   4       0.150703      -928.01874691
   5       0.188438      -928.01006002
   6       0.226258      -927.99872890
   7       0.264219      -927.98442978
   8       0.302391      -927.96706426
   9       0.340854      -927.94767443
  10       0.379700      -927.92950053
  11       0.419032      -927.91807018
  12       0.458957      -927.92016128
  13       0.499592      -927.94241964
  14       0.541062      -927.99030794
  15       0.583500      -928.06756238
  16       0.627053      -928.17611816
  17       0.671878      -928.31615991
  18       0.718151      -928.48640070
  19       0.766064      -928.68436603
  20       0.815836      -928.90668329
  21       0.867715      -929.14937018
  22       0.921986      -929.40816093
  23       0.978980      -929.67901407
  24       1.039089      -929.95922837
  25       1.102774      -930.25038257
  26       1.170589      -930.56387058
  27       1.243232      -930.73055097
  28       1.318166      -930.59534656
  29       1.391457      -930.51000874
  30       1.463922      -930.47664663
  31       1.536387      -930.51000874
  32       1.609678      -930.59534656
  33       1.684612      -930.73055097
  34       1.757255      -930.56387058
  35       1.825070      -930.25038257
  36       1.888755      -929.95922837
  37       1.948864      -929.67901407
  38       2.005859      -929.40816093
  39       2.060129      -929.14937018
  40       2.112008      -928.90668329
  41       2.161780      -928.68436603
  42       2.209694      -928.48640070
  43       2.255966      -928.31615991
  44       2.300791      -928.17611816
  45       2.344344      -928.06756238
  46       2.386782      -927.99030794
  47       2.428252      -927.94241964
  48       2.468887      -927.92016128
  49       2.508812      -927.91807018
  50       2.548144      -927.92950053
  51       2.586991      -927.94767443
  52       2.625454      -927.96706426
  53       2.663625      -927.98442978
  54       2.701586      -927.99872890
  55       2.739406      -928.01006002
  56       2.777141      -928.01874691
  57       2.814832      -928.02507462
  58       2.852505      -928.02929701
  59       2.890174      -928.03165826
  60       2.927844      -928.03239894
