# image   distance   energy
   0       0.000000         0.00000000
   1       0.037670         0.00175036
   2       0.075339         0.00692684
   3       0.113012         0.01541656
   4       0.150703         0.02711192
   5       0.188438         0.04191575
   6       0.226258         0.05974073
   7       0.264219         0.08050116
   8       0.302391         0.10411599
   9       0.340854         0.13060655
  10       0.379700         0.16033813
  11       0.419032         0.19422985
  12       0.458957         0.23373641
  13       0.499592         0.28063172
  14       0.541062         0.33674659
  15       0.583500         0.40375993
  16       0.627053         0.48313982
  17       0.671878         0.57603498
  18       0.718151         0.68331676
  19       0.766064         0.80559767
  20       0.815836         0.94325813
  21       0.867715         1.09649820
  22       0.921986         1.26547172
  23       0.978980         1.45065992
  24       1.039089         1.65392827
  25       1.102774         1.88150849
  26       1.170589         2.14970474
  27       1.243232         2.30474376
  28       1.318166         2.16905449
  29       1.391457         2.07701938
  30       1.463922         2.04010061
  31       1.536387         2.07701938
  32       1.609678         2.16905449
  33       1.684612         2.30474376
  34       1.757255         2.14970474
  35       1.825070         1.88150849
  36       1.888755         1.65392827
  37       1.948864         1.45065992
  38       2.005859         1.26547172
  39       2.060129         1.09649820
  40       2.112008         0.94325813
  41       2.161780         0.80559767
  42       2.209694         0.68331676
  43       2.255966         0.57603498
  44       2.300791         0.48313982
  45       2.344344         0.40375993
  46       2.386782         0.33674659
  47       2.428252         0.28063172
  48       2.468887         0.23373641
  49       2.508812         0.19422985
  50       2.548144         0.16033813
  51       2.586991         0.13060655
  52       2.625454         0.10411599
  53       2.663625         0.08050116
  54       2.701586         0.05974073
  55       2.739406         0.04191575
  56       2.777141         0.02711192
  57       2.814832         0.01541656
  58       2.852505         0.00692684
  59       2.890174         0.00175036
  60       2.927844         0.00000000
